Food Name,"Energy, with dietary fibre",Moisture (water),Protein,Nitrogen,Total Fat,Ash,Calcium (Ca),Iodine (I),Iron (Fe),Magnesium (Mg),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn),Retinol (preformed vitamin A),Beta-carotene,Beta-carotene equivalents (provitamin A),Vitamin A retinol equivalents,Thiamin (B1),Riboflavin (B2),Niacin (B3),Niacin derived from tryptophan,Niacin derived equivalents,Pyridoxine (B6),Cobalamin (B12),"Folate, natural",Total folates,Dietary folate equivalents,Vitamin C,Cholecalciferol (D3),25-hydroxy cholecalciferol (25-OH D3,Vitamin D3 equivalents,Alpha tocopherol,Vitamin E,C14,C15,C16,C17,C18,Total saturated fatty acids,,,,,,,,,,,,,,,,Total long chain omega 3 fatty acids,,Cholesterol,
0,755,68.2,21.7,3.47,10.5,1.2,4,1.3,1.74,20,177,336,17.6,58,5.91,5,10,10,7,0.053,0.182,2.88,2.98,5.86,0.11,1.8,20,20,20,1,0.4,0.6,3.46,0.5,0.53,0.44,0.06,2.38,0.11,1.2,4.19,0.14,0.41,3.93,4.61,0.27,0.09,22.3,5.58,19.07,68.45,45.12,3.75,53.4,8.37,0.58,106.892,468.09,66,175
0,1089,54.7,31.2,5,15.1,1.3,6,1.8,2.98,23,235,286,13.5,51,4.9,2,12,12,4,0.036,0.008,1.04,4.3,5.34,0.09,2.3,24,24,24,0,0.2,0.1,0.69,0.8,0.76,0.43,0.07,2.94,0.17,1.72,5.34,0.14,0.54,6.03,6.92,0.6,0.08,40.4,19.76,58.92,228.97,40.83,43.1,132.42,20.54,1.26,193.792,500.41,55,253
0,574,70.2,27.9,4.46,2.7,1.2,4,1.2,1.7,24,240,340,19,38,5.7,0,10,10,2,0.03,0.11,3,3.84,6.84,0.19,1.3,21,21,21,1,0.3,0.7,3.8,0.5,0.5,0.07,0.01,0.54,0.03,0.31,0.96,0.02,0.07,0.9,1.05,0.15,0.04,7.54,5.14,18.28,70.34,27.75,6.48,44.37,5.76,0.37,77.881,93.09,54,226
0,653,65.6,32.1,5.14,2.9,1.3,4,1.7,2.8,23,260,360,15,47,7.2,0,12,12,2,0.03,0.08,3,4.42,7.42,0.01,0.1,25,25,25,0,0.2,0.1,0.7,0.7,0.7,0.07,0.01,0.53,0.03,0.29,0.93,0.02,0.1,1.11,1.29,0.14,0.03,8.66,4.97,16.44,64.74,30.71,7.25,46.54,6.96,0.36,84.208,80.73,77,260
0,751,61,36.5,5.84,3.5,1.6,5,0.8,2.22,20,204,244,24.8,27,7.45,0,10,10,2,0.018,0.122,2.16,5.02,7.18,0.09,1,18,18,18,1,0.4,0.8,4.47,0.5,0.52,0.09,0.01,0.71,0.03,0.41,1.26,0.02,0.09,1.18,1.37,0.2,0.05,9.86,6.72,23.89,91.94,36.27,8.47,58,7.53,0.48,101.805,121.69,71,295
0,614,69.3,27.6,4.41,3.9,1.2,5,1.2,1.69,24,237,336,18.6,38,5.6,1,10,10,3,0.029,0.109,2.98,3.79,6.78,0.19,1.3,21,21,21,1,0.3,0.7,3.74,0.5,0.51,0.13,0.02,0.83,0.04,0.46,1.48,0.04,0.12,1.39,1.62,0.17,0.04,9.72,5.04,17.9,68.88,27.6,6.34,43.45,5.64,0.39,76.693,153.99,54,223
0,678,65,31.8,5.1,3.7,1.3,4,1.7,2.77,23,258,357,14.8,47,7.11,0,12,12,2,0.03,0.08,2.98,4.39,7.36,0.02,0.1,25,25,25,0,0.2,0.1,0.7,0.7,0.71,0.1,0.02,0.7,0.04,0.38,1.24,0.04,0.14,1.44,1.68,0.15,0.04,10.19,4.89,16.2,63.77,30.25,7.14,46.39,6.86,0.37,83.498,122.85,77,258
0,774,60.5,36.2,5.78,4.3,1.6,5,0.8,2.2,20,202,243,24.5,27,7.36,0,10,10,2,0.018,0.121,2.15,4.98,7.13,0.09,1,18,18,18,1,0.4,0.8,4.41,0.5,0.54,0.13,0.02,0.88,0.04,0.49,1.56,0.04,0.13,1.51,1.75,0.2,0.05,11.38,6.62,23.54,90.58,35.73,8.34,57.68,7.42,0.5,100.833,163.2,71,293
0,570,73.2,22.2,3.55,5.2,1.3,6,1.2,2.2,27,230,380,12,57,3.8,0,10,10,2,0.05,0.22,7,3.06,10.06,0.13,1.9,21,21,21,1,0.3,0.7,3.8,0.9,0.9,0.16,0.02,1.1,0.06,0.61,1.95,0.04,0.16,1.78,2.07,0.26,0.05,13.67,6.1,21.82,79.54,34.01,7.14,52.44,8.14,0.53,94.597,204.34,58,180
0,746,58.1,31.9,5.1,5.5,1.3,10,1.7,2.2,26,270,350,15,49,7.8,0,12,12,2,0.03,0,1,4.39,5.39,0.13,3,25,25,25,0,0.2,0.1,0.7,0.7,0.7,0.14,0.02,1.02,0.05,0.56,1.8,0.04,0.2,2.15,2.49,0.26,0.04,16.93,9.07,27.96,104.99,36.17,15.26,78.49,10.58,0.6,125.245,151.54,70,258
0,665,70.8,21.7,3.47,8,1.3,6,1.2,2.16,26,223,369,11.4,55,3.66,2,10,10,4,0.048,0.212,6.75,2.99,9.74,0.14,2,20,20,20,1,0.3,0.7,3.66,0.9,0.89,0.29,0.04,1.78,0.09,0.94,3.14,0.09,0.28,2.91,3.39,0.29,0.07,18.6,5.79,20.72,75.57,33.35,6.79,49.82,7.74,0.58,90.906,345.18,58,176
0,783,57.4,31.5,5.04,6.7,1.3,10,1.7,2.17,26,266,345,14.6,49,7.64,0,12,12,2,0.029,0.002,1.01,4.34,5.35,0.14,3,25,25,25,0,0.2,0.1,0.7,0.7,0.72,0.19,0.03,1.29,0.07,0.69,2.27,0.06,0.26,2.65,3.08,0.27,0.05,19.18,8.85,27.3,102.49,35.31,14.9,77.49,10.33,0.61,123.134,217.14,70,255
0,710,69.7,21.5,3.43,9.3,1.3,6,1.3,2.13,26,219,364,11.1,55,3.59,3,10,10,5,0.046,0.207,6.63,2.96,9.58,0.14,2,20,20,20,1,0.4,0.6,3.59,0.9,0.88,0.34,0.05,2.1,0.1,1.1,3.7,0.11,0.34,3.44,4.01,0.31,0.07,20.92,5.65,20.21,73.69,33.04,6.62,48.58,7.55,0.6,89.164,411.65,58,174
0,849,56.1,30.8,4.93,8.8,1.3,9,1.8,2.12,25,259,337,14,48,7.37,1,12,12,3,0.028,0.005,1.03,4.23,5.27,0.15,2.9,24,24,24,0,0.2,0.1,0.69,0.7,0.74,0.28,0.04,1.77,0.09,0.92,3.1,0.1,0.36,3.53,4.12,0.28,0.06,23.17,8.47,26.12,98.07,33.79,14.26,75.73,9.88,0.64,119.4,333.21,70,249
0,541,70.2,22.9,3.66,4.1,1,7,0,1.56,27,203,349,0,68,2.34,0,0,0,0,0.046,0.028,4.14,3.18,7.32,0.07,3,21,21,21,0,0.2,0.6,3.2,0,0,0.12,0.02,0.94,0.05,0.62,1.76,0.02,0.14,1.47,1.66,0.1,0.03,0,0,8.64,18.03,0,0,16.52,1.13,0.17,17.652,127.69,76,187
0,849,58.5,32.3,5.17,8.1,1.2,9,0,2.58,27,246,421,0,82,6.89,0,35,35,6,0.055,0.033,5,4.49,9.48,0.09,3.6,25,25,25,0,0.4,0.5,2.9,0,0,0.18,0.04,1.84,0.11,1.36,3.55,0.04,0.25,2.9,3.27,0.15,0.04,0,0,2.23,36.36,11.87,1.48,28.19,0.74,0.27,40.807,252.27,92,264
0,676,62.8,28.6,4.58,5.1,1.3,7,0,1.94,22,165,240,0,46,2.92,0,0,0,0,0.026,0.03,2.85,3.98,6.82,0.03,2.2,17,17,17,0,0.2,0.7,3.6,0,0,0.14,0.03,1.17,0.07,0.78,2.2,0.03,0.18,1.84,2.07,0.12,0.03,0,0,10.8,22.53,0,0,20.66,1.41,0.21,22.065,159.61,95,234
0,710,68.6,22.4,3.58,8.9,1,7,0,1.5,27,203,349,0,68,2.27,0,0,0,0,0.046,0.028,4.14,3.11,7.25,0.07,3,21,21,21,0,0.2,0.6,3.2,0,0,0.28,0.05,2.02,0.13,1.34,3.83,0.06,0.34,3.34,3.8,0.17,0.04,0,0,10.04,18.4,0,0,22.59,0,0.25,22.588,284.44,76,183
