Food Name,"Energy, with dietary fibre",Moisture (water),Protein,Total Fat,Ash,Calcium (Ca),Iodine (I),Iron (Fe),Magnesium (Mg),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn),Retinol (preformed vitamin A),Beta-carotene,Vitamin A retinol equivalents,Thiamin (B1),Riboflavin (B2),Niacin (B3),Niacin derived from tryptophan,Niacin derived equivalents,Pyridoxine (B6),Cobalamin (B12),Total folates,Vitamin C,Cholecalciferol (D3),25-hydroxy cholecalciferol (25-OH D3,Vitamin D3 equivalents,Vitamin E,Total saturated fatty acids,,,,,,,,Total long chain omega 3 fatty acids,,Cholesterol,
0,614,69.3,27.6,3.9,1.2,5,1.2,1.69,24,237,336,18.6,38,5.6,1,10,3,0.029,0.109,2.98,3.79,6.78,0.19,1.3,21,1,0.3,0.7,3.74,0.51,1.48,17.9,68.88,27.6,6.34,43.45,5.64,0.39,76.693,153.99,54,223
0,678,65,31.8,3.7,1.3,4,1.7,2.77,23,258,357,14.8,47,7.11,0,12,2,0.03,0.08,2.98,4.39,7.36,0.02,0.1,25,0,0.2,0.1,0.7,0.71,1.24,16.2,63.77,30.25,7.14,46.39,6.86,0.37,83.498,122.85,77,258
0,774,60.5,36.2,4.3,1.6,5,0.8,2.2,20,202,243,24.5,27,7.36,0,10,2,0.018,0.121,2.15,4.98,7.13,0.09,1,18,1,0.4,0.8,4.41,0.54,1.56,23.54,90.58,35.73,8.34,57.68,7.42,0.5,100.833,163.2,71,293
0,570,73.2,22.2,5.2,1.3,6,1.2,2.2,27,230,380,12,57,3.8,0,10,2,0.05,0.22,7,3.06,10.06,0.13,1.9,21,1,0.3,0.7,3.8,0.9,1.95,21.82,79.54,34.01,7.14,52.44,8.14,0.53,94.597,204.34,58,180
0,746,58.1,31.9,5.5,1.3,10,1.7,2.2,26,270,350,15,49,7.8,0,12,2,0.03,0,1,4.39,5.39,0.13,3,25,0,0.2,0.1,0.7,0.7,1.8,27.96,104.99,36.17,15.26,78.49,10.58,0.6,125.245,151.54,70,258
0,665,70.8,21.7,8,1.3,6,1.2,2.16,26,223,369,11.4,55,3.66,2,10,4,0.048,0.212,6.75,2.99,9.74,0.14,2,20,1,0.3,0.7,3.66,0.89,3.14,20.72,75.57,33.35,6.79,49.82,7.74,0.58,90.906,345.18,58,176
0,783,57.4,31.5,6.7,1.3,10,1.7,2.17,26,266,345,14.6,49,7.64,0,12,2,0.029,0.002,1.01,4.34,5.35,0.14,3,25,0,0.2,0.1,0.7,0.72,2.27,27.3,102.49,35.31,14.9,77.49,10.33,0.61,123.134,217.14,70,255
0,710,69.7,21.5,9.3,1.3,6,1.3,2.13,26,219,364,11.1,55,3.59,3,10,5,0.046,0.207,6.63,2.96,9.58,0.14,2,20,1,0.4,0.6,3.59,0.88,3.7,20.21,73.69,33.04,6.62,48.58,7.55,0.6,89.164,411.65,58,174
0,849,56.1,30.8,8.8,1.3,9,1.8,2.12,25,259,337,14,48,7.37,1,12,3,0.028,0.005,1.03,4.23,5.27,0.15,2.9,24,0,0.2,0.1,0.69,0.74,3.1,26.12,98.07,33.79,14.26,75.73,9.88,0.64,119.4,333.21,70,249
0,541,70.2,22.9,4.1,1,7,0,1.56,27,203,349,0,68,2.34,0,0,0,0.046,0.028,4.14,3.18,7.32,0.07,3,21,0,0.2,0.6,3.2,0,1.76,8.64,18.03,0,0,16.52,1.13,0.17,17.652,127.69,76,187
0,849,58.5,32.3,8.1,1.2,9,0,2.58,27,246,421,0,82,6.89,0,35,6,0.055,0.033,5,4.49,9.48,0.09,3.6,25,0,0.4,0.5,2.9,0,3.55,2.23,36.36,11.87,1.48,28.19,0.74,0.27,40.807,252.27,92,264
0,676,62.8,28.6,5.1,1.3,7,0,1.94,22,165,240,0,46,2.92,0,0,0,0.026,0.03,2.85,3.98,6.82,0.03,2.2,17,0,0.2,0.7,3.6,0,2.2,10.8,22.53,0,0,20.66,1.41,0.21,22.065,159.61,95,234
0,710,68.6,22.4,8.9,1,7,0,1.5,27,203,349,0,68,2.27,0,0,0,0.046,0.028,4.14,3.11,7.25,0.07,3,21,0,0.2,0.6,3.2,0,3.83,10.04,18.4,0,0,22.59,0,0.25,22.588,284.44,76,183
0,1108,53.6,29.5,16.4,1.2,9,0,2.55,27,246,421,0,82,5.97,0,35,6,0.055,0.033,5,4.1,9.09,0.09,3.6,25,0,0.4,0.5,2.9,0,7.52,9.25,29.29,0,0,10.79,0,0.33,10.791,524.14,92,241
0,767,67.2,22.5,10.4,0.9,4,2.2,1.45,23,172,305,12.4,51,2.09,0,0,0,0.02,0.11,3.4,3.13,6.52,0.23,1.8,10,0,0.2,0.6,3.2,0,4.74,10.75,24.44,0,0,28.35,0.98,0.29,29.328,332.38,78,184
