Protein,Nitrogen,Beta-carotene,Beta-carotene equivalents (provitamin A),"Folate, natural",Total folates,Dietary folate equivalents,Alpha tocopherol,Vitamin E,C14,C15,C16,C17,C18,Total saturated fatty acids,,,,,,,,
32,5.12,0,0,15,15,15,0.3,0.28,0.44,0.08,2.26,0.18,2.24,5.2,0.02,0.16,3.86,4.2,0.24,0.19,28.3,0
21.9,3.5,0,0,17,17,17,0.4,0.4,0.08,0.01,0.7,0.05,0.51,1.36,0,0.06,1.7,1.83,0.24,0.04,14.04,12
28.1,4.5,0,0,17,17,17,0.2,0.2,0.18,0.03,1.44,0.08,0.99,2.73,0.01,0.14,2.84,3.1,0.46,0.13,21.86,17.21
32.2,5.15,0,0,14,14,14,0.5,0.47,0.12,0.02,1.04,0.07,0.76,2,0.01,0.09,2.5,2.7,0.35,0.06,20.65,17.65
21.6,3.45,0,0,16,16,16,0.4,0.42,0.14,0.02,1,0.07,0.81,2.05,0.01,0.08,2.2,2.37,0.27,0.07,17.3,11.67
28,4.47,0,0,17,17,17,0.2,0.21,0.21,0.04,1.56,0.09,1.11,3,0.01,0.14,3.03,3.31,0.46,0.14,23.26,17
32,5.12,0,0,13,13,13,0.5,0.48,0.14,0.03,1.16,0.08,0.88,2.29,0.01,0.1,2.7,2.91,0.36,0.07,22.06,17.43
24.1,3.86,0,0,57,57,57,0.2,0.2,0.02,0,0.34,0,0.18,0.54,0,0.05,0.57,0.64,0.18,0.01,1.46,5.82
32.5,5.2,0,0,8,8,8,0,0,0.04,0,0.67,0.01,0.34,1.07,0,0.07,1.03,1.13,0.28,0.02,5.1,7.64
22.7,3.63,0,0,53,53,53,0.2,0.21,0.07,0.01,1.52,0.02,0.8,2.43,0,0.17,2.77,3.01,0.65,0.04,1.34,26.25
30.6,4.9,0,0,8,8,8,0,0.03,0.11,0,1.98,0.04,1.07,3.22,0,0.2,3.36,3.62,0.73,0.04,4.69,32.37
22.8,3.65,0,0,4,4,4,0.2,0.21,0.03,0,0.64,0.01,0.33,1.02,0,0.08,1.16,1.27,0.37,0.02,0,11.28
31.3,5.01,0,0,22,22,22,0,0,0.03,0,0.64,0.01,0.33,1.02,0,0.08,1.16,1.27,0.37,0.02,0,11.28
23.1,3.7,0,0,32,32,32,0.3,0.31,0,0,0.25,0,0.12,0.38,0,0.03,0.45,0.5,0.09,0.01,0,4
28.5,4.56,0,0,44,44,44,0.1,0.11,0.01,0,0.49,0.01,0.24,0.76,0,0.07,0.91,0.99,0.18,0.02,0,8.01
9.6,1.53,0,0,4,4,4,0.3,0.29,0.73,0.05,12.2,0.29,6.1,19.51,0,1.5,20.72,22.61,5.23,0.44,48.41,193.65
11.5,1.84,0,0,8,8,8,0.1,0.13,0.82,0.05,12.87,0.31,6.23,20.43,0,1.64,22.02,24.06,5.57,0.51,51.08,204.32
19.5,3.12,0,0,45,45,45,0,0,0.05,0,0.89,0.01,0.46,1.42,0,0.1,1.39,1.52,0.44,0.02,7.1,3.55
26.3,4.21,0,0,43,43,43,0,0,0.08,0.01,1.5,0.03,0.77,2.41,0.01,0.17,2.32,2.53,0.63,0.04,11.47,17.2
25.4,4.07,0,0,41,41,41,0,0.01,0.12,0.01,2.19,0.05,1.1,3.5,0.01,0.26,3.52,3.84,0.93,0.07,13.87,28.54
17.5,2.81,0,0,37,37,37,0.1,0.06,0.18,0.01,3.13,0.07,1.57,5,0,0.38,5.21,5.68,1.38,0.11,15.26,41.09
23.3,3.72,0,0,36,36,36,0,0.03,0.23,0.02,3.83,0.09,1.89,6.1,0,0.47,6.36,6.95,1.64,0.14,19.59,55.58
19.6,3.13,0,0,45,45,45,0,0,0.04,0,0.71,0.01,0.36,1.13,0,0.08,1.11,1.21,0.35,0.02,5.64,2.82
